Ground object (IDENTIFY),Placed on Luavi,In the RvB 6 replay,.dat file,Model used (visual .dnm/.srf),Size w x h x l (m),Note
RVB3_SAM_HUMMER,2,2,user\RvB\ww3\ground\hummer.dat,gamefiles\user\RvB\ww3\ground\hummer.dnm,3x3x6,
RVB3_SHANDONG,1,1,user\RvB\ww3\ground\shandong.dat,gamefiles\user\RvB\ww3\ground\shandong.dnm,80x59x318,
RVB3_SMALLTANKS,2,2,user\RvB\ww3\ground\smalltanks.dat,gamefiles\user\RvB\ww3\ground\smalltanks.srf,35x14x43,
RVB3_TOWN1,7,7,user\RvB\ww3\ground\town1.dat,gamefiles\user\RvB\ww3\ground\town1.dnm,808x27x403,
RVB3_TROPICALTREE,62,62,user\RvB\ww3\ground\tree_tropical.dat,gamefiles\user\RvB\ww3\ground\tree_tropical.srf,9x16x12,
RVB3_WAREHOUSE1,3,3,user\RvB\ww3\ground\warehouse1.dat,gamefiles\user\RvB\ww3\ground\warehouse1.srf,60x10x133,
RVB3_WAREHOUSE1_SMALL,2,2,user\RvB\ww3\ground\warehouse1small.dat,gamefiles\user\RvB\ww3\ground\warehouse1small.srf,36x8x92,
RVB3_WAREHOUSE2,3,3,user\RvB\ww3\ground\warehouse2.dat,gamefiles\user\RvB\ww3\ground\warehouse2.srf,111x10x137,
RVB3_WINDTURBINE,12,12,user\RvB\ww3\ground\windturbine.dat,gamefiles\user\RvB\ww3\ground\windturbine.dnm,27x146x10,
RVB5_COMMAND_BUILDING,2,2,user\RvB\ww3\ground\commandtop.dat,gamefiles\user\RvB\ww3\ground\commandtop.dnm,48x20x62,
RVB5_COMMAND_BUILDING_BASE,2,2,user\RvB\ww3\ground\commandbottom.dat,gamefiles\user\RvB\ww3\ground\commandbottom.dnm,48x20x62,
STADIUM_BLUE,1,1,user\RvB\ww3\ground\stadiumblue.dat,gamefiles\user\RvB\ww3\ground\stadiumblue.dnm,188x14x227,
STADIUM_RED,1,1,user\RvB\ww3\ground\stadiumred.dat,gamefiles\user\RvB\ww3\ground\stadiumred.dnm,188x14x227,
[GOP]2S6M_TUNGUSKA,13,13,user\gop\east\2s6m.dat,gamefiles\User\gop\east\2s6m.dnm,4x2x6,
[GOP]3M9_KUB,14,14,user\gop\east\3M9kub.dat,gamefiles\User\gop\east\3M9kub.dnm,4x3x7,
[GOP]AAA,28,28,user\gop\common-aaa\gopaaa.dat,gamefiles\User\gop\common-aaa\gopaaa.dnm,1x1x2,
[GOP]ADMIRAL-GORSHKOV,1,1,user\gop\CV\baku.dat,gamefiles\User\gop\CV\baku.dnm,47x40x272,
[GOP]BOAT,6,0,,,,.dat not in the game files (not in the replay either)
[GOP]FENCE,4,4,user\gop\ground\fence.dat,gamefiles\User\gop\ground\fence_main.srf,14x2x3,
[GOP]FH-70,8,8,user\gop\army\FH-70.DAT,gamefiles\User\gop\army\FH-70.dnm,5x6x3,
[GOP]FUELTANK1,4,4,user\gop\supply\fueltank1.dat,gamefiles\User\gop\supply\fueltank1.srf,64x16x64,
[GOP]FUELTANK2,2,2,user\gop\supply\fueltank2.dat,gamefiles\User\gop\supply\fueltank2.srf,54x8x48,
[GOP]GUN_TRUCK,8,8,user\gop\common-aaa\guntruck.dat,gamefiles\User\gop\common-aaa\guntruck.dnm,2x3x6,
[GOP]HANGER2_AIRCRAFT,8,8,user\gop\airport\air_hanger2.dat,gamefiles\User\gop\airport\air_hanger2.srf,91x8x23,
[GOP]HANGER_AIRCRAFT,8,8,user\gop\airport\air_hanger.dat,gamefiles\User\gop\airport\air_hanger.srf,98x41x78,
[GOP]HANGER_WEAPON,4,4,user\gop\supply\wp_hanger.dat,gamefiles\User\gop\supply\wp_hanger.srf,46x22x62,
[GOP]HOTEL1,1,0,,,,.dat not in the game files (not in the replay either)
[GOP]HUNG,6,0,,,,.dat not in the game files (not in the replay either)
[GOP]HYUGA_CLASS,1,1,user\gop\CV\16DDH.dat,gamefiles\User\gop\CV\16DDH.dnm,31x44x195,
[GOP]ILS,6,0,,,,.dat not in the game files (not in the replay either)
[GOP]IT_TRUCK,6,6,user\gop\truck\ITruck.dat,gamefiles\User\gop\truck\Itruck_main.srf,2x3x6,
[GOP]M-6_LINEBACKER,13,13,user\gop\west\m6.dat,gamefiles\User\gop\west\m6.dnm,3x2x6,
[GOP]M1A2SEP,21,21,user\gop\army\m1a2sep.dat,gamefiles\User\gop\army\m1a2sep.dnm,3x2x8,
[GOP]MIM-104_PATRIOT,13,13,user\gop\west\mim104.dat,gamefiles\User\gop\west\mim104.dnm,22x4x33,
[GOP]MIM-72_CHAPARRAL,14,14,user\gop\west\mim72.dat,gamefiles\User\gop\west\mim72.dnm,2x2x5,
[GOP]NIMITZ_CLASS,1,1,user\gop\CV\cvn-77.dat,gamefiles\User\gop\CV\CVN-77.dnm,80x36x333,
[GOP]NRADER,2,0,,,,.dat not in the game files (not in the replay either)
[GOP]PORT_CRANE,10,10,user\gop\port\crane.dat,gamefiles\User\gop\port\crane_main.srf,8x70x56,
[GOP]S-300_FAVORIT,13,13,user\gop\east\S300.dat,gamefiles\User\gop\east\S300.dnm,58x27x50,
[GOP]SAM,12,12,user\gop\common-aaa\gopsam.dat,gamefiles\User\gop\common-aaa\gopsam.dnm,1x1x1,
[GOP]SUPPLY_CLASS,2,0,user\gop\supply\supply.dat,gamefiles\User\gop\supply\supply.dnm,32x26x230,on the map but not in the replay
[GOP]SUPPLY_CONTAINER,10,10,user\gop\supply\supply_object.dat,gamefiles\User\gop\supply\supplyobj_main.srf,26x6x11,
[GOP]T-80U,21,21,user\gop\army\t80u.dat,gamefiles\User\gop\army\t80u.dnm,3x2x7,
[GOP]TOW2,1,0,,,,.dat not in the game files (not in the replay either)
[GOP]TOWER,3,3,user\gop\airport\tower.dat,gamefiles\User\gop\airport\tower_main.srf,51x40x24,
[GOP]TOWER3,1,0,,,,.dat not in the game files (not in the replay either)
[GOP]TRUCK,12,12,user\gop\supply\Truck.dat,gamefiles\User\gop\supply\truck_main.srf,2x2x6,
[GOP]VOR,4,0,,,,.dat not in the game files (not in the replay either)
[GOP]WASP_CLASS,2,2,user\gop\CV\wasp.dat,gamefiles\User\gop\CV\LHD-1.dnm,59x50x256,
