IDENTIFY "TU-22(RED/HEAVY)"
CATEGORY HEAVYBOMBER
AFTBURNR TRUE 	# HAVE AFTERBURNER?
CLVARGEO 0.0 	# EFFECT OF VARIABLE GEOMETRY WING FOR Cl
CDVARGEO 0.0 	# EFFECT OF VARIABLE GEOMETRY WING FOR Cd
CLBYFLAP 0.4 	# EFFECT OF FLAP FOR Cl
CDBYFLAP 0.65 	# EFFECT OF FLAP FOR Cd
CDBYGEAR 0.5 	# EFFECT OF GEAR FOR Cd
CDSPOILR 0.6 	# EFFECT OF SPOILER FOR Cd

WINGAREA 181m^2 	# WING AREA

MXIPTAOA 18.0deg 	# MAX INPUT AOA
MXIPTSSA 5.0deg 	# MAX INPUT SSA
MXIPTROL 45deg 	# MAX INPUT ROLL

REM CPITMANE corresponds to Spring Constant K
REM CPITSTAB corresponds to Damper Constant B
REM To be critically damped, B=2*sqrt(K)
REM 2% Settling Time=??

MANESPD1 100kt 	# MINIMUM MANEUVABLE SPEED
MANESPD2 360kt 	# FULLY MANEUVABLE SPEED
CPITMANE 1.9 	# PITCH MANEUVERBILITY CONSTANT
CPITSTAB 2.0 	# PITCH STABILITY CONSTANT
CYAWMANE 3.0 	# YAW MANEUVABILITY CONSTANT
CYAWSTAB 3.0 	# YAW STABILITY CONSTANT
CROLLMAN 0.6 	# ROLL MANEUVABILITY CONSTANT

CTLLDGEA TRUE 	# CONTROL LANDINGGEAR
CTLBRAKE FALSE 	# CONTROL BRAKE
CTLSPOIL 0.0                  #CONTROL SPOILER
CTLABRNR FALSE 	# CONTROL AFTERBURNER
CTLTHROT 0.0                  #CONTROL THRUST
CTLIFLAP 0.0                  #CONTROL FLAP
CTLINVGW 1.0                  #CONTROL VARIABLE GEOMETRY WING
CTLATVGW TRUE                 #CONTROL AUTO VARIABLE GEOMETRY WING
VGWSPED1 380kt
VGWSPED2 500kt

POSITION 0m 3ft 0m            #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                   #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED


MAXNMAAM 0
MAXNMAGM 45
MAXNBOMB 45
MAXNMRKT 0
LMTBYHDP FALSE 	# Limit Max Num Weapon by Hardpoint
BOMINBAY TRUE
BOMVISIB FALSE
AGMVISIB FALSE
AAMVISIB FALSE

HRDPOINT 0.00m -2.30m 4.50m AGM65*6 B500*16 B250*32 $INTERNAL
HRDPOINT -5.60m -1.50m -3.60m AGM65*6 B500*22 B250*44 AIM120*6 $INTERNAL
HRDPOINT 5.60m -1.50m -3.60m AGM65*6 B500*16 B250*32 $INTERNAL


INITIGUN 0 	# INITIAL GUN
INITIAAM 0 	# INITIAL AAM
INITIAGM 3 	# INITIAL AGM
INITBOMB 32 	# INITIAL BOMB
WEAPONCH AGM


MAXNMFLR 120;
LOADWEPN FLR 120
FLAREPOS  2.75m -0.86m -2.87m  20.0m 0.0m 0.0m  # FLARE DISPENSER POSITION AND VELOCITY
FLAREPOS -2.75m -0.86m -2.87m -20.0m 0.0m 0.0m
FLAREPOS  0m -2.0m -2.87m 0m 0m 0m






RADARCRS 1.25 	# RADAR CROSS SECTION

REM ClZero,CdZero is fixed by Cruising condition
REFVCRUS 1.0MACH 	# CRUISING SPEED
REFACRUS 5000ft 	# CRUISING ALTITUDE
REFTCRUS 1.2 	# CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 145kt 	# LANDING SPEED
REFAOALD 14deg 	# LANDING AOA
REFLNRWY 800m 	# RUNWAY REQUIRED TO STOP
REFTHRLD 0.65 	# LANDING THROTTLE SETTING

NMTURRET 1
TURRETPO 0 0.0m 0.0m 0.0m 0deg 0deg 0deg 	# Number x y z h p b
TURRETPT 0 -30deg 30deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -30deg 30deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 0                              # Ammo
TURRETIV 0 1sec                           # Number ShootingInterval
TURRETNM 0 irstpipper                              # DNM Node Name
TURRETAR 0                                   # Anti Air Capable
TURRETCT 0 GUNNER                             # Controlled by the pilot
TURRETRG 0 15000m

WPNSHAPE FUEL STATIC user/RvB/weapon/RussianFuelTank.srf
WPNSHAPE FUEL FLYING user/RvB/weapon/RussianFuelTank.srf
WPNSHAPE B500 STATIC user/RvB/weapon/FAB-250.srf
WPNSHAPE B500 FLYING user/RvB/weapon/FAB-250.srf
WPNSHAPE B250 STATIC user/RvB/weapon/FAB-100.srf
WPNSHAPE B250 FLYING user/RvB/weapon/FAB-100.srf
WPNSHAPE AIM120 STATIC user/RvB/weapon/R-27Rs.srf
WPNSHAPE AIM120 FLYING user/RvB/weapon/R-27R.srf
WPNSHAPE RKT STATIC user/RvB/weapon/UB-32-57s.srf
WPNSHAPE RKT FLYING user/RvB/weapon/UB-32-57.srf
WPNSHAPE AGM65 STATIC user/RvB/weapon/Kh-31As.srf
WPNSHAPE AGM65 FLYING user/RvB/weapon/Kh-31A.srf
WPNSHAPE AIM9 STATIC user/RvB/weapon/R-60s.srf
WPNSHAPE AIM9 FLYING user/RvB/weapon/R-60.srf
WPNSHAPE FLR FLYING user/RvB/weapon/flr.srf
AUTOCALC
