
IDENTIFY "AH-64(BLUE/HELI)"
CATEGORY ATTACKER
AIRCLASS HELICOPTER
AFTBURNR FALSE 	# HAVE AFTERBURNER?
CTLATVGW FALSE                #CONTROL AUTO VARIABLE GEOMETRY WING

POSITION 0m 3ft 0m           #POSITION
ATTITUDE 45deg 0deg 0deg      #ATTITUDE
INITFUEL 75%                  #INITIAL FUEL
INITLOAD 0.0t                 #INITIAL PAYLOAD
INITSPED 0.0MACH              #INITIAL SPEED

GUNPOWER 4
INITIGUN 512 	# INITIAL GUN
INITIAAM 0 	# INITIAL AAM
INITIAGM 16 	# INITIAL AGM
INITRCKT 36                   #INITIAL ROCKET

HRDPOINT  2.70m -0.03m -0.20m AIM9X AGM65*2
HRDPOINT -2.70m -0.03m -0.20m AIM9X AGM65*2

HRDPOINT  2.35m -0.65m -0.15m AGM65*2
HRDPOINT -2.35m -0.65m -0.15m AGM65*2

HRDPOINT  1.35m -0.65m -0.20m RKT*50
HRDPOINT -1.35m -0.65m -0.20m RKT*50


HRDPOINT  1.65m -1.00m -0.20m AGM65*4
HRDPOINT -1.65m -1.00m -0.20m AGM65*4


MAXNMFLR 80;
LOADWEPN FLR 80
FLAREPOS  2.75m -0.86m -2.87m  20.0m 0.0m 0.0m  # FLARE DISPENSER POSITION AND VELOCITY
FLAREPOS -2.75m -0.86m -2.87m -20.0m 0.0m 0.0m
FLAREPOS  0m -2.0m -2.87m 0m 0m 0m


NMTURRET 4
TURRETPO 0 0.00m -1.59m 3.40m 0deg 0deg 0deg 	# Number x y z h p b
TURRETPT 0 -30deg 10deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 0 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 0 1200                              # Ammo
TURRETIV 0 0.096sec                           # Number ShootingInterval
TURRETAR 0                                   # Anti Air Capable
REM TURRETGD 0                                   # Anti Ground Capable
TURRETCT 0 GUNNER                             # Controlled by the pilot
TURRETRG 0 1800m
TURRETPO 1 0.00m -1.59m 3.40m 0deg 0deg 0deg 	# Number x y z h p b
TURRETPT 1 -30deg 10deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 1 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 1 1200                              # Ammo
TURRETIV 1 0.096sec                           # Number ShootingInterval
TURRETAR 1                                   # Anti Air Capable
REM TURRETGD 1                                   # Anti Ground Capable
TURRETCT 1 GUNNER                             # Controlled by the pilot
TURRETRG 1 1800m
TURRETPO 2 0.00m -1.59m 3.40m 0deg 0deg 0deg 	# Number x y z h p b
TURRETPT 2 -30deg 10deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 2 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 2 1200                              # Ammo
TURRETIV 2 0.096sec                           # Number ShootingInterval
TURRETAR 2                                   # Anti Air Capable
REM TURRETGD 2                                   # Anti Ground Capable
TURRETCT 2 GUNNER                             # Controlled by the pilot
TURRETRG 2 1800m
TURRETPO 3 0.00m -1.59m 3.40m 0deg 0deg 0deg 	# Number x y z h p b
TURRETPT 3 -30deg 10deg 0deg                  # Number MinPitch MaxPitch NeutralPitch
TURRETHD 3 -60deg 60deg 0deg               # Number MinHdg MaxHdg NeutralHdg
TURRETAM 3 1200                              # Ammo
TURRETIV 3 0.096sec                           # Number ShootingInterval
TURRETAR 3                                   # Anti Air Capable
REM TURRETGD 3                                  # Anti Ground Capable
TURRETCT 3 GUNNER                             # Controlled by the pilot
TURRETRG 3 1800m

REFVCRUS 350km/h 	# CRUISING SPEED
REFACRUS 5000ft 	# CRUISING ALTITUDE
REFTCRUS 0.9 	# CRUISING THROTTLE SETTING

REM ClSlope,CdConst is fixed by Landing condition
REFVLAND 0kt 	# LANDING SPEED
REFAOALD 0deg 	# LANDING AOA
REFLNRWY 5m 	# RUNWAY REQUIRED TO STOP
REFTHRLD 0 	# LANDING THROTTLE SETTING

WPNSHAPE FUEL STATIC user/RvB/weapon/AmericanFuelTank.srf
WPNSHAPE FUEL FLYING user/RvB/weapon/AmericanFuelTank.srf
WPNSHAPE B500 STATIC user/RvB/weapon/Mk82.srf
WPNSHAPE B500 FLYING user/RvB/weapon/Mk82.srf
WPNSHAPE B250 STATIC user/RvB/weapon/Mk81.srf
WPNSHAPE B250 FLYING user/RvB/weapon/Mk81.srf
WPNSHAPE AIM120 STATIC user/RvB/weapon/AIM-7Ms.srf
WPNSHAPE AIM120 FLYING user/RvB/weapon/AIM-7M.srf
WPNSHAPE RKT STATIC user/RvB/weapon/M261s.srf
WPNSHAPE RKT FLYING user/RvB/weapon/M261.srf
WPNSHAPE AGM65 STATIC user/RvB/weapon/AGM-114As.srf
WPNSHAPE AGM65 FLYING user/RvB/weapon/AGM-114A.srf
WPNSHAPE AIM9 STATIC user/RvB/weapon/AIM-9s.srf
WPNSHAPE AIM9 FLYING user/RvB/weapon/AIM-9.srf
WPNSHAPE FLR FLYING user/RvB/weapon/flr.srf
AUTOCALC
MAXNMAAM 99
MAXNMAGM 99
MAXNBOMB 99
MAXNMRKT 38
LMTBYHDP TRUE
